"Name","Mobility","State","Commute","Longitude","Latitude"
"Duluth",0.08911483,"MN",0.437,-92.25388336,47.5231514
"West Cook UT",0.101694912,"MN",0.588,-90.28932953,48.00813675
"International Falls",0.174129352,"MN",0.618,-93.7525177,48.34368896
"Moberly",0.101372756,"MO",0.468,-92.2747879,39.64715195
"Marshall",0.094837934,"MO",0.559,-93.2859726,39.38939667
"Brookfield",0.111922137,"MO",0.475,-93.11956787,39.54138184
"Trenton",0.108333334,"MO",0.497,-93.56001282,40.28865433
"Polk",0.087136932,"MO",0.405,-92.866539,40.38930511
"Centerville",0.146718144,"IA",0.517,-93.18882751,40.80517197
"Kirksville",0.113438048,"MO",0.575,-92.50550079,40.35305405
"Bismarck",0.186741367,"ND",0.541,-101.2413788,46.9527359
"Linton",0.298913032,"ND",0.646,-100.1607513,46.31258011
"Devils Lake",0.096474953,"ND",0.627,-98.72877502,48.07733154
"Carrington",0.333333343,"ND",0.656,-98.86683655,47.59697723
"Turtle Mountain UT",0.082554519,"ND",0.574,-99.52817535,48.65229416
"Minot",0.224178404,"ND",0.606,-101.1829376,48.44352341
"Rugby",0.219101131,"ND",0.665,-99.93865204,47.84067535
"Ekalaka",0.229729727,"SD",0.665,-104.3988113,45.6770401
"Baker",0.212765962,"MT",0.713,-104.4404221,46.33258438
"Bowman",0.469696969,"ND",0.648,-103.4252625,46.33992767
"Lemmon",0.357142866,"ND",0.704,-102.4201126,45.96557999
"Wolf Point",0.094188377,"MT",0.7,-105.2777939,47.97356415
"Plentywood",0.318181813,"MT",0.681,-104.6538086,48.64743423
"Glasgow",0.166064978,"MT",0.697,-107.2980347,47.95127106
"Glendive",0.266666681,"MT",0.735,-104.5802383,47.0760231
"Dickinson",0.329207927,"ND",0.659,-102.6135406,47.3269577
"Sidney",0.250569463,"ND",0.637,-103.9324951,47.97699356
"Williston",0.338308454,"ND",0.702,-103.3398666,48.25440979
"Brookings",0.166666672,"SD",0.64,-97.04569244,44.25271225
"Madison",0.184357539,"SD",0.632,-97.35136414,44.00357819
"Sioux Falls",0.118633144,"SD",0.439,-96.86399841,43.24443817
"Watertown",0.143529415,"SD",0.595,-97.20510864,44.77415466
"Milbank",0.170212761,"MN",0.65,-96.50798798,45.44738388
"Sisseton",0.107066378,"SD",0.563,-97.11304474,45.51088333
"East Corson UT",0.070028015,"SD",0.505,-101.020462,46.02724457
"Mobridge",0.111111112,"SD",0.708,-100.2668533,45.62107849
"Aberdeen",0.199268743,"SD",0.676,-98.89090729,45.33486938
"Bemidji",0.095286883,"MN",0.449,-95.27794647,47.46465683
"Grafton",0.232558146,"ND",0.582,-97.40125275,48.46412659
"Thief River Falls",0.178756475,"MN",0.534,-96.72994995,48.21841431
"Grand Forks",0.127949178,"ND",0.613,-96.84928131,47.63110352
"Fargo",0.135817304,"ND",0.518,-96.80470276,46.78217697
"Lisbon",0.235294119,"ND",0.606,-97.9004364,46.16109848
"Jamestown",0.224056602,"ND",0.667,-98.5546875,46.85998535
"Fergus Falls",0.152307689,"MN",0.526,-95.80510712,45.92772293
"Little Falls",0.164556965,"MN",0.435,-94.59442139,46.23093414
"O'Neill",0.189349115,"NE",0.653,-98.70926666,42.44371033
"Ord",0.239234448,"NE",0.658,-99.01965332,41.7120285
"Ainsworth",0.192052975,"NE",0.67,-99.70069122,42.55544662
"Winner",0.139285713,"SD",0.673,-99.58708954,43.48690033
"Yankton",0.171200007,"SD",0.583,-97.76850891,42.81324005
"Mitchell",0.133819953,"SD",0.641,-98.23804474,43.71949005
"Huron",0.120481931,"SD",0.67,-98.40640259,44.23934937
"Parkston",0.157107234,"SD",0.613,-98.4186554,43.17985535
"Chamberlain",0.080419578,"SD",0.6,-99.73162079,43.84754181
"Miller",0.315068483,"SD",0.697,-99.27758026,44.53313446
"Pierre",0.092436977,"SD",0.767,-100.4342804,44.53273392
"Gettysburg",0.326530606,"SD",0.729,-100.1954651,45.0510025
"Willmar",0.124713957,"MN",0.549,-95.79323578,45.02997589
"Marshall",0.153061226,"MN",0.621,-96.11171722,44.14323044
"Sioux Center",0.230769232,"IA",0.629,-96.31761169,43.20659637
"Worthington",0.140293643,"MN",0.589,-95.44126892,43.78089905
"Spencer",0.185007975,"IA",0.598,-94.70322418,43.20801163
"Fairmont",0.128712878,"MN",0.576,-94.34890747,43.57031631
"Storm Lake",0.173431739,"IA",0.614,-95.32562256,42.50638962
"Fort Dodge",0.130044848,"IA",0.572,-94.18214417,42.47451782
"Des Moines",0.091024824,"IA",0.384,-93.92951202,41.60398483
"Creston",0.124513619,"IA",0.556,-94.00727844,40.87550354
"Atlantic",0.151583716,"IA",0.557,-95.06052399,41.53104401
"Carroll",0.167235494,"IA",0.611,-94.89144135,42.0172081
"Rapid City",0.093032956,"SD",0.484,-102.9856949,43.95537567
"Eagle Butte",0.05111821,"SD",0.578,-100.9490509,44.87100601
"Southwest Jackson UT",0.110344827,"SD",0.669,-101.5664139,44.20991898
"Mission",0.024253732,"SD",0.465,-100.7022629,43.67805862
"Scottsbluff",0.119402982,"NE",0.642,-103.2371445,42.10224152
"Cheyenne",0.095637582,"WY",0.564,-103.619278,41.22678757
"Torrington",0.171581775,"WY",0.624,-104.7554169,42.07083511
"Gordon",0.031948883,"SD",0.588,-102.4207916,42.97958755
"Virginia Beach",0.151607961,"NE",0.614,-97.60464478,42.04076004
"Columbus",0.169184297,"NE",0.581,-97.66253662,41.45363617
"Hastings",0.111111112,"NE",0.599,-98.40055847,40.37082291
"York",0.186813191,"NE",0.628,-97.60134125,41.03922272
"Grand Island",0.142099679,"NE",0.561,-98.08049011,41.15071869
"Sioux City",0.112523541,"IA",0.454,-96.45620728,42.41978073
"West Point",0.100386098,"NE",0.551,-96.39584351,41.96702194
"Lincoln",0.091316752,"NE",0.434,-96.87757874,40.51989746
"Nebraska City",0.158351407,"NE",0.514,-95.7429657,40.31529999
"Red Oak",0.124213837,"IA",0.55,-95.20536804,40.83879471
"Omaha",0.077540748,"NE",0.349,-96.01181793,41.37325668
"Sterling",0.14463453,"CO",0.64,-102.9417191,40.26195526
"Ogallala",0.162280709,"NE",0.614,-101.9265594,41.02142715
"Valentine",0.145348832,"NE",0.704,-101.2975388,42.21408844
"Broken Bow",0.176470593,"NE",0.63,-99.98648834,41.61204529
"North Platte",0.122767858,"NE",0.598,-100.814537,41.27867889
"Colorado Springs",0.089342691,"CO",0.311,-105.3561478,38.32243347
"Limon",0.178571433,"CO",0.631,-103.5012054,38.91321182
"Springfield",0.191919193,"CO",0.667,-102.7212067,37.3058548
"Pueblo",0.065621682,"CO",0.44,-103.6605453,38.00615692
"Trinidad",0.117647059,"CO",0.579,-104.9347076,37.63062286
"Burlington",0.204651162,"CO",0.655,-102.8057022,38.81014252
"Oberlin",0.243243247,"KS",0.645,-100.8070145,39.79944229
"Norton",0.168674693,"KS",0.735,-99.99017334,39.70698166
"Phillipsburg",0.14864865,"KS",0.652,-99.08483124,39.7482605
"Colby",0.195876285,"KS",0.72,-100.7239456,39.06659317
"Goodland",0.19491525,"KS",0.716,-101.6901779,39.08805847
"Wano",0.204545453,"KS",0.661,-101.7088089,39.94098663
"McCook",0.182456136,"NE",0.681,-101.1281662,40.33379364
"Kearney",0.164429531,"NE",0.603,-99.04553986,40.68668747
"Lexington",0.165277779,"NE",0.642,-99.85023499,40.45066452
"Salida",0.089473687,"CO",0.644,-106.2054901,38.75741959
"Glenwood Springs",0.169014081,"CO",0.424,-106.7265396,39.44956207
"Granby",0.075471699,"CO",0.458,-106.0054932,40.10517502
"Laramie",0.162866443,"WY",0.755,-106.1132126,41.11951447
"Fort Collins",0.115367778,"CO",0.388,-104.9993668,40.08501816
"Denver",0.087027751,"CO",0.23,-105.1261368,39.87371445
"Pratt",0.155172408,"KS",0.706,-98.84619141,37.44801712
"Dodge City",0.113309354,"KS",0.62,-99.93192291,37.61029816
"Great Bend",0.131280392,"KS",0.59,-99.02153778,38.21062469
"Hutchinson",0.10738916,"KS",0.522,-98.19816589,38.24101257
"Hays",0.157894731,"KS",0.711,-99.22112274,38.91882706
"Township 11",0.115107916,"KS",0.63,-99.64243317,39.31253433
"Center",0.149425283,"KS",0.671,-100.0859909,38.47960663
"Concordia",0.152823925,"KS",0.62,-97.84165955,39.68053436
"Superior",0.1863354,"NE",0.634,-97.82563782,40.12400436
"Beloit",0.150375933,"KS",0.69,-98.48547363,39.3434639
"Salina",0.082998663,"KS",0.594,-97.88715363,39.02124405
"Hiawatha",0.171821311,"KS",0.578,-95.83583832,39.75350189
"Marysville",0.145228222,"KS",0.557,-96.819664,39.76867676
"Manhattan",0.088531189,"KS",0.558,-96.54640961,39.08251953
"Topeka",0.070468798,"KS",0.397,-95.84705353,39.0243988
"Wichita",0.072246693,"KS",0.344,-97.57659912,37.52082443
"Newton",0.103496507,"KS",0.563,-97.33188629,38.26798248
"Winfield",0.10986267,"KS",0.504,-96.32216644,37.46088028
"Ottawa",0.092639595,"KS",0.444,-95.37495422,38.20166779
"Emporia",0.10940171,"KS",0.595,-96.11869049,38.32172775
"Bartlesville",0.089498803,"KS",0.529,-95.57122803,37.16532898
"Leavenworth",0.080346108,"KS",0.425,-95.05719757,39.27693176
"Kansas City",0.070146576,"MO",0.281,-94.38174438,38.82955933
"St. Joseph",0.083113454,"MO",0.406,-94.72216797,39.80957031
"Sedalia",0.082563154,"MO",0.437,-93.55834961,38.25394058
"Polk",0.112745099,"MO",0.569,-95.29441833,40.23490524
"Bethany",0.120845921,"MO",0.468,-94.29198456,40.35356903
"Columbia",0.065512978,"MO",0.422,-92.4945755,38.80968475
"Eldon",0.067785665,"MO",0.336,-92.62184906,38.16008759
"Springfield",0.071467616,"MO",0.344,-92.95655823,37.47497177
"Aurora",0.074891463,"MO",0.363,-93.49754333,36.80260468
"Joplin",0.072286703,"MO",0.454,-94.71572113,37.22660828
"Center",0.085664339,"MO",0.467,-94.09624481,37.770298
"Russellville",0.088736087,"AR",0.404,-93.50112915,35.23631668
"Fort Smith",0.093938597,"AR",0.371,-94.65261841,35.18096161
"Muskogee",0.063101105,"OK",0.388,-95.3609848,35.62084198
"Fayetteville",0.091806516,"AR",0.378,-93.9666748,36.14060593
"Stillwater",0.098464318,"OK",0.568,-97.07953644,36.2519455
"Tulsa",0.078357495,"OK",0.323,-96.00587463,36.35557938
"Okmulgee",0.081061162,"OK",0.369,-96.20625305,35.53468323
"Woodward",0.200000003,"OK",0.556,-99.54933929,36.33114624
"Enid",0.149268791,"OK",0.561,-98.65596771,36.39400482
"El Paso",0.086441279,"TX",0.28,-105.8593826,31.53549957
"Alamogordo",0.084955752,"NM",0.447,-105.5015945,33.18803787
"Truth or Consequences",0.081272088,"NM",0.6,-107.5682602,32.97782135
"Deming",0.06972789,"NM",0.51,-107.963707,32.6858902
"Van Horn",0.223463684,"TX",0.753,-104.7364273,31.20840073
"Roswell",0.116612375,"NM",0.539,-104.3254395,33.14016724
"Santa Rosa",0.120481931,"NM",0.702,-104.5651703,34.50608826
"Hobbs",0.161949679,"NM",0.598,-103.1146164,32.87368393
"Lubbock",0.067375377,"TX",0.449,-101.9698639,33.39770889
"Clovis",0.082815737,"NM",0.617,-103.3585205,34.35095596
"Littlefield",0.080366224,"TX",0.607,-102.4688873,34.24190903
"Amarillo",0.086136706,"TX",0.438,-102.07621,35.01696014
"Pampa",0.153333336,"TX",0.549,-100.7961807,35.68777466
"Wellington",0.133640558,"TX",0.64,-100.2593231,35.11793518
"Memphis",0.117154814,"TX",0.601,-100.8501511,34.58508301
"Plainview",0.084852293,"TX",0.612,-101.6776352,34.23498535
"Garden City",0.108910888,"KS",0.586,-101.0449753,37.90377808
"Ulysses",0.190721646,"KS",0.685,-101.4493408,37.42094803
"Scott City",0.191304341,"KS",0.658,-101.3615189,38.45989609
"Liberal",0.121145375,"KS",0.642,-100.4816284,37.04619217
"Perryton",0.232835814,"TX",0.632,-100.772438,36.30082321
"Guymon",0.161702126,"OK",0.609,-101.8250275,36.70602036
"Dumas",0.136015326,"TX",0.611,-102.5147247,35.97253799
"Victoria",0.101472996,"TX",0.425,-96.89043427,28.64389229
"La Grange",0.114014253,"TX",0.457,-96.64813995,29.8095932
"Gonzales",0.069620252,"TX",0.492,-97.48576355,29.45507431
"Austin",0.069321632,"TX",0.249,-97.34928894,30.34607887
"Burnet",0.094736844,"TX",0.349,-98.3323822,30.74760818
"San Antonio",0.06438259,"TX",0.242,-98.32330322,29.32548332
"Beeville",0.10215947,"TX",0.466,-97.65449524,28.54982758
"Kerrville",0.095637582,"TX",0.471,-99.22693634,30.13759422
"Mason",0.174418598,"TX",0.589,-99.20174408,30.72035408
"Midland",0.178886995,"TX",0.462,-102.4643631,31.58391571
"Pecos",0.232954547,"TX",0.632,-103.2329102,31.58716011
"Fort Stockton",0.22278057,"TX",0.664,-102.1818542,30.84657669
"Alpine",0.18026565,"TX",0.705,-103.6352158,29.74945068
"Crystal City",0.083204933,"TX",0.606,-99.68631744,28.59832954
"Pearsall",0.09375,"TX",0.544,-99.13024902,28.52157974
"Laredo",0.108853586,"TX",0.327,-99.11489105,27.35385132
"Brownsville",0.091609113,"TX",0.343,-97.88677979,26.29011726
"Corpus Christi",0.105567604,"TX",0.387,-97.44354248,27.70552826
"College Station",0.077777781,"TX",0.451,-96.40337372,30.69517136
"Pearland",0.115716122,"TX",0.291,-95.81373596,29.20017052
"Houston",0.09273798,"TX",0.21,-95.54590607,29.90282822
"Beaumont",0.094970569,"TX",0.337,-94.03515625,30.64862442
"Huntsville",0.077342585,"TX",0.411,-95.26525116,31.21398354
"Nacogdoches",0.093918398,"TX",0.439,-94.10274506,31.52708817
"San Angelo",0.086386427,"TX",0.479,-100.7596741,31.4733448
"Brady",0.118143462,"TX",0.577,-99.54219818,31.46809578
"Junction",0.073469386,"TX",0.542,-99.72380066,30.65185165
"Uvalde",0.096843615,"TX",0.58,-100.0209579,29.92001915
"Del Rio",0.123060457,"TX",0.515,-101.5324402,30.01642036
"Eagle Pass",0.100081034,"TX",0.526,-100.3401642,28.54393578
"Big Spring",0.114441417,"TX",0.633,-101.5630875,32.14839172
"Sweetwater",0.12202853,"TX",0.588,-100.3800964,32.48177719
"Snyder",0.156089187,"TX",0.608,-100.8495178,32.72692108
"Abilene",0.103291988,"TX",0.487,-99.22882843,32.46583176
"Childress",0.078260869,"TX",0.757,-100.1639481,34.29735184
"Haskell",0.169014081,"TX",0.612,-99.89932251,33.61955643
"Wichita Falls",0.096604496,"TX",0.441,-98.38246918,33.97848511
"Graham",0.175939843,"TX",0.548,-98.59178925,33.16519928
"Seymour",0.086021505,"TX",0.674,-99.21134949,33.59815216
"Vernon",0.088073395,"TX",0.678,-99.5828476,34.11379623
"Brownwood",0.10866373,"TX",0.495,-99.08785248,31.39281273
"Stephenville",0.11419753,"TX",0.523,-98.34169769,31.99583435
"Waco",0.067537434,"TX",0.363,-97.33197021,31.7745533
"Corsicana",0.101304345,"TX",0.377,-96.00711823,31.64850426
"Killeen",0.077248268,"TX",0.383,-98.1207428,31.1772728
"Fort Worth",0.091362856,"TX",0.24,-97.73618317,32.97557831
"Dallas",0.071082465,"TX",0.218,-96.97606659,33.37597656
"Paris",0.076712325,"TX",0.39,-95.31303406,33.58971405
"Tyler",0.095106505,"TX",0.33,-95.64369202,32.0152092
"Longview",0.114197075,"TX",0.361,-94.66480255,32.37123108
"Texarkana",0.078893088,"TX",0.399,-94.26612091,33.48603821
"Lawton",0.104880884,"OK",0.472,-98.07527161,34.16087341
"Altus",0.112149529,"OK",0.621,-99.30892181,34.66716003
"Frederick",0.074303404,"OK",0.538,-99.00443268,34.37358093
"Ardmore",0.110788234,"OK",0.442,-97.04316711,34.05104446
"Elk City",0.187198892,"OK",0.604,-99.36138916,35.53198242
"Chickasha",0.115446284,"OK",0.382,-98.07128906,35.21339798
"Oklahoma City",0.08207529,"OK",0.305,-97.19595337,35.43068314
"Ada",0.116729423,"OK",0.458,-96.40505219,34.78291702
"Sherman",0.08847981,"TX",0.372,-96.4016571,33.86076736
"Hot Springs",0.070756733,"AR",0.384,-93.46253204,34.06404877
"Idabel",0.092278719,"OK",0.423,-94.80767822,33.94971848
"Anchorage",0.133952975,"AK",0.364,-150.6782684,61.32980728
"Valdez",0.159999996,"AK",0.687,-144.9578247,62.0689888
"Kotzebue",0.064516127,"AK",0.864,-159.4378052,67.02818298
"Nome",0.046783626,"AK",0.928,-162.0301208,64.47514343
"Dillingham",0.111842103,"AK",0.812,-156.8317871,58.88792419
"Kodiak",0.146153852,"AK",0.752,-154.8331146,57.98225403
"Juneau",0.125,"AK",0.547,-136.0512848,58.65037918
"Sitka",0.070866145,"AK",0.805,-132.3830719,56.49371338
"Ketchikan",0.122605361,"AK",0.556,-131.5855103,55.94898224
"Bethel",0.051863857,"AK",0.909,-158.3821259,61.37712097
"Barrow",0.100000002,"AK",0.879,-153.8191986,68.37101746
"Unalaska",0.130434781,"AK",0.852,-170.7196655,52.91202164
"Fairbanks",0.160626844,"AK",0.477,-149.947403,64.20728302
"Havre",0.0821485,"MT",0.714,-109.4126968,48.17143631
"Shelby",0.047505938,"MT",0.664,-113.2559509,48.50295258
"Great Falls",0.096359745,"MT",0.538,-111.069397,47.37815475
"Lewistown",0.171641797,"MT",0.685,-108.9028244,47.31938171
"Cody",0.147403687,"WY",0.617,-108.9638062,44.34892273
"Worland",0.130653262,"WY",0.766,-108.4556885,43.71894455
"Riverton",0.124318428,"WY",0.632,-109.1515884,43.4414444
"Sheridan",0.104493208,"WY",0.583,-107.3653107,44.97467804
"Miles City",0.179282874,"MT",0.755,-105.343277,46.66508102
"Colstrip",0.088888891,"MT",0.693,-107.0254974,46.12818146
"Billings",0.130519167,"MT",0.446,-108.3647156,45.9727478
"Harlowton",0.200000003,"MT",0.696,-110.8638611,46.63560867
"Dillon",0.116883114,"MT",0.73,-112.8630981,45.06940079
"Bozeman",0.125968993,"MT",0.527,-111.284935,45.44599152
"Helena",0.119741097,"MT",0.472,-112.1091843,46.6794281
"Butte-Silver Bow",0.089366518,"MT",0.61,-113.0626144,46.27347946
"Bonners Ferry",0.099137932,"ID",0.438,-116.6835632,48.78676605
"Libby",0.130260527,"MT",0.599,-115.3273239,48.28434753
"Kalispell",0.110841423,"MT",0.45,-114.4555206,48.02499771
"Missoula",0.105627306,"MT",0.467,-114.3804092,46.5549202
"Gillette",0.264184386,"WY",0.536,-105.1586533,44.25107574
"Rawlins",0.193415642,"WY",0.722,-107.2571335,41.5921669
"Casper",0.1662689,"WY",0.528,-106.0161438,42.78221893
"Honolulu",0.105292603,"HI",0.235,-157.9321899,21.4360733
"Kapaa",0.099307157,"HI",0.37,-159.7645569,21.99382973
"Kahului",0.084893882,"HI",0.384,-156.808609,21.01157188
"Las Vegas",0.085848421,"NM",0.537,-104.8272629,36.06868744
"Santa Fe",0.080323316,"NM",0.371,-105.9622192,36.23500061
"Tucumcari",0.073033705,"NM",0.689,-103.9974594,35.63302231
"Clayton",0.12230216,"NM",0.625,-103.4148178,36.28738022
"Alamosa",0.098867923,"CO",0.552,-105.8650208,37.70302963
"Albuquerque",0.065984614,"NM",0.273,-106.6865387,35.30916214
"Socorro",0.052117262,"NM",0.565,-107.2575073,33.99178696
"Phoenix",0.075277291,"AZ",0.242,-111.2946472,34.01496887
"Safford",0.110591903,"AZ",0.53,-109.8251343,33.35108948
"Tucson",0.070549995,"AZ",0.291,-111.0153809,32.08977509
"Grand Junction",0.146367148,"CO",0.465,-107.929718,38.24682617
"Gunnison",0.10619469,"CO",0.644,-106.9783707,38.55570602
"Farmington",0.091447525,"NM",0.388,-107.6833267,37.35906219
"Flagstaff",0.081450909,"AZ",0.461,-111.7975159,35.68649292
"Cortez",0.126780629,"CO",0.502,-109.9322205,37.68797684
"Gallup",0.041061398,"AZ",0.468,-109.3631363,34.48004913
"Hilo",0.068267584,"HI",0.346,-155.5252686,19.57883072
"Twin Falls",0.087119184,"ID",0.505,-114.1120682,43.3184967
"Burley",0.113892369,"ID",0.536,-113.5997849,42.5788765
"Boise City",0.073920421,"ID",0.342,-115.8388214,43.88101196
"Ontario",0.08448416,"OR",0.49,-117.264679,44.12631226
"McCall",0.124031007,"ID",0.561,-115.7999039,44.72644043
"St. George",0.108483292,"UT",0.575,-112.8234177,38.04713058
"Price",0.137343928,"UT",0.577,-110.5037231,39.19399261
"Moab",0.11797753,"UT",0.752,-109.9014969,38.92660141
"Richfield",0.128603101,"UT",0.633,-111.5695038,38.23861694
"Loa",0.209677413,"UT",0.628,-110.3235626,38.31745148
"Provo",0.137511998,"UT",0.454,-112.0073929,39.74200439
"Salt Lake City",0.108327426,"UT",0.294,-111.5724487,40.61962891
"Logan",0.13690953,"UT",0.528,-111.9947891,41.98722839
"Pocatello",0.092508666,"ID",0.517,-112.3168564,43.61785126
"Salmon",0.154929578,"ID",0.582,-114.1753082,44.61720657
"Jackson",0.113924049,"WY",0.488,-110.6054153,43.95529938
"Steamboat Springs",0.158904105,"CO",0.549,-107.3094482,40.40969086
"Vernal",0.253378391,"UT",0.557,-109.9159775,40.21995544
"Soda Springs",0.17699115,"ID",0.575,-111.7631073,42.54293823
"Rock Springs",0.205394194,"WY",0.545,-110.0383224,41.91302109
"Klamath Falls",0.085617594,"CA",0.528,-121.7403717,41.15644836
"Burns",0.139393941,"OR",0.73,-119.1090164,43.08067703
"Lakeview",0.109826587,"OR",0.692,-120.3503876,42.76520538
"Redding",0.088071346,"CA",0.424,-122.1635361,40.30780029
"Eureka",0.07579273,"CA",0.497,-123.0484848,40.84222794
"Medford",0.071968012,"OR",0.429,-123.2816467,42.61839676
"Crescent City",0.08342246,"CA",0.626,-123.9329529,42.31748581
"Roseburg",0.081977882,"OR",0.462,-123.3719406,43.07090759
"Modesto",0.093628272,"CA",0.372,-120.410408,37.66864014
"Bakersfield",0.121619716,"CA",0.362,-119.1086044,35.30618668
"Fresno",0.074879371,"CA",0.351,-119.22789,36.71687317
"Chico",0.094842598,"CA",0.442,-121.6650085,39.53987122
"Sacramento",0.096909009,"CA",0.285,-120.8810654,38.54524994
"San Jose",0.129325882,"CA",0.244,-121.2914886,36.79400253
"Elko",0.160294116,"NV",0.513,-116.7512283,39.81857681
"Winnemucca",0.16955018,"NV",0.496,-118.4091873,41.0092392
"Portola",0.117647059,"CA",0.552,-120.8507614,39.97616959
"Reno",0.091030493,"NV",0.378,-118.7568665,39.50427246
"Santa Rosa",0.099550895,"CA",0.349,-122.7677917,38.93232346
"San Francisco",0.121525869,"CA",0.212,-122.1985855,38.06606293
"Las Vegas",0.080029011,"NV",0.245,-114.0264969,36.05942535
"Reno",0.109756097,"NV",0.687,-118.5917435,38.64191818
"Mammoth Lakes",0.115942031,"CA",0.64,-118.7063065,37.27253342
"San Diego",0.104364753,"CA",0.247,-117.1072693,33.10883331
"Yuma",0.098213226,"CA",0.45,-114.6705933,33.04047394
"Santa Barbara",0.112940833,"CA",0.448,-120.0722809,34.86935425
"Los Angeles",0.096090205,"CA",0.225,-116.2886734,34.07516861
"Lewiston",0.09020979,"ID",0.555,-115.7686844,46.12074661
"Pullman",0.142361105,"WA",0.557,-117.4569702,46.73067093
"Moses Lake",0.096579477,"WA",0.512,-119.3423462,47.29811096
"Wenatchee",0.093546048,"WA",0.503,-120.1486206,47.9200592
"Spokane",0.092801489,"WA",0.348,-116.9176559,47.73950195
"Colville",0.097524755,"WA",0.427,-119.368103,48.25589752
"Longview",0.09277267,"WA",0.448,-123.4893112,46.43405533
"Portland",0.093058541,"OR",0.258,-122.5852432,45.50732803
"The Dalles",0.104380243,"OR",0.53,-120.9777756,45.38042831
"Eugene",0.078895815,"OR",0.381,-122.91716,44.46360397
"Newport",0.072574481,"OR",0.49,-123.6389465,45.18978882
"Yakima",0.081706584,"WA",0.427,-120.9370956,46.98318863
"Kennewick",0.105854802,"WA",0.453,-118.6931992,45.92147064
"La Grande",0.087674715,"OR",0.645,-117.8991852,44.90513611
"Enterprise",0.143790856,"OR",0.644,-117.2639389,45.51634216
"Bend",0.081726357,"OR",0.474,-121.1511154,44.22486496
"Condon",0.108695649,"OR",0.546,-120.3259811,45.21966553
"John Day",0.11585366,"OR",0.579,-118.5311966,44.59402466
"Friday Harbor",0.101694912,"WA",0.628,-123.0529556,48.52537918
"Bellingham",0.115575127,"WA",0.418,-121.263443,48.83115387
"Port Angeles",0.085840061,"WA",0.486,-123.5446472,47.91206741
"Seattle",0.108550951,"WA",0.24,-122.0122299,47.64439392
